Time	TimeofDay	Shooter Encoder	Shooter Motor 1 Voltage	Shooter Current	
1.737294	1.460218415659E12	0.0	0.0	0.0	
1.823062	1.460218415722E12	0.0	0.0	0.0	
1.923616	1.460218415823E12	0.0	0.0	0.0	
2.023578	1.460218415923E12	0.0	0.0	0.0	
2.123485	1.460218416023E12	0.0	0.0	0.0	
2.223539	1.460218416123E12	0.0	0.0	0.0	
2.323495	1.460218416223E12	0.0	0.0	0.0	
2.423464	1.460218416323E12	0.0	0.0	0.0	
2.523386	1.460218416423E12	0.0	0.0	0.0	
2.62337	1.460218416523E12	0.0	0.0	0.0	
2.723328	1.460218416623E12	0.0	0.0	0.0	
2.823333	1.460218416723E12	0.0	0.0	0.0	
2.923326	1.460218416823E12	0.0	0.0	0.0	
3.023282	1.460218416922E12	0.0	0.0	0.0	
3.123267	1.460218417022E12	0.0	0.0	0.0	
3.223195	1.460218417122E12	0.0	0.0	0.0	
3.323201	1.460218417222E12	0.0	0.0	0.0	
3.423172	1.460218417322E12	0.0	0.0	0.0	
3.523196	1.460218417422E12	0.0	0.0	0.0	
3.623248	1.460218417522E12	0.0	0.0	0.0	
3.723256	1.460218417622E12	0.0	0.0	0.0	
3.823244	1.460218417722E12	0.0	0.0	0.0	
3.92337	1.460218417823E12	0.0	0.0	0.0	
4.023533	1.460218417923E12	0.0	0.0	0.0	
4.123491	1.460218418023E12	0.0	0.0	0.0	
4.223463	1.460218418123E12	0.0	0.0	0.0	
4.323475	1.460218418223E12	0.0	0.0	0.0	
4.423565	1.460218418323E12	0.0	0.0	0.0	
4.523546	1.460218418423E12	0.0	0.0	0.0	
4.623525	1.460218418523E12	0.0	0.0	0.0	
4.723454	1.460218418623E12	0.0	0.0	0.0	
4.823403	1.460218418723E12	0.0	0.0	0.0	
4.923345	1.460218418823E12	0.0	0.0	0.0	
5.023975	1.460218418923E12	0.0	0.0	0.0	
5.124062	1.460218419023E12	0.0	0.0	0.0	
5.224295	1.460218419124E12	0.0	0.0	0.0	
5.324235	1.460218419223E12	0.0	0.0	0.0	
5.424173	1.460218419323E12	0.0	0.0	0.0	
5.524122	1.460218419423E12	0.0	0.0	0.0	
5.624061	1.460218419523E12	0.0	0.0	0.0	
5.724029	1.460218419623E12	0.0	0.0	0.0	
5.82407	1.460218419723E12	0.0	0.0	0.0	
5.923983	1.460218419823E12	0.0	0.0	0.0	
6.023943	1.460218419923E12	0.0	0.0	0.0	
6.12391	1.460218420023E12	0.0	0.0	0.0	
6.224845	1.460218420124E12	0.0	0.0	0.0	
6.325709	1.460218420225E12	0.0	0.0	0.0	
6.425719	1.460218420325E12	0.0	0.0	0.0	
6.525611	1.460218420425E12	0.0	0.0	0.0	
6.6255	1.460218420525E12	0.0	0.0	0.0	
6.725474	1.460218420625E12	0.0	0.0	0.0	
6.825392	1.460218420725E12	0.0	0.0	0.0	
6.925297	1.460218420825E12	0.0	0.0	0.0	
7.025287	1.460218420925E12	0.0	0.0	0.0	
7.125232	1.460218421024E12	0.0	0.0	0.0	
7.225126	1.460218421124E12	0.0	0.0	0.0	
7.325018	1.460218421224E12	0.0	0.0	0.0	
7.424885	1.460218421324E12	0.0	0.0	0.0	
7.525766	1.460218421425E12	0.0	0.0	0.0	
7.626581	1.460218421526E12	0.0	0.0	0.0	
7.726454	1.460218421626E12	0.0	0.0	0.0	
7.826428	1.460218421726E12	0.0	0.0	0.0	
7.926449	1.460218421826E12	0.0	0.0	0.0	
8.026303	1.460218421926E12	0.0	0.0	0.0	
8.126174	1.460218422025E12	0.0	0.0	0.0	
8.226041	1.460218422125E12	0.0	0.0	0.0	
8.325916	1.460218422225E12	0.0	0.0	0.0	
8.42678	1.460218422326E12	0.0	0.0	0.0	
8.527621	1.460218422427E12	0.0	0.0	0.0	
8.627492	1.460218422527E12	0.0	0.0	0.0	
8.727381	1.460218422627E12	0.0	0.0	0.0	
8.827277	1.460218422727E12	0.0	0.0	0.0	
8.927261	1.460218422827E12	0.0	0.0	0.0	
9.027313	1.460218422927E12	0.0	0.0	0.0	
9.127345	1.460218423027E12	0.0	0.0	0.0	
9.22719	1.460218423126E12	0.0	0.0	0.0	
9.327031	1.460218423226E12	0.0	0.0	0.0	
9.426862	1.460218423326E12	0.0	0.0	0.0	
9.527705	1.460218423427E12	0.0	0.0	0.0	
9.628488	1.460218423528E12	0.0	0.0	0.0	
9.728307	1.460218423628E12	0.0	0.0	0.0	
9.828161	1.460218423727E12	0.0	0.0	0.0	
9.927985	1.460218423827E12	0.0	0.0	0.0	
10.027805	1.460218423927E12	0.0	0.0	0.0	
10.128614	1.460218424028E12	0.0	0.0	0.0	
10.228433	1.460218424128E12	0.0	0.0	0.0	
10.328272	1.460218424228E12	0.0	0.0	0.0	
10.428095	1.460218424327E12	0.0	0.0	0.0	
10.527913	1.460218424427E12	0.0	0.0	0.0	
10.628763	1.460218424528E12	0.0	0.0	0.0	
10.72958	1.460218424629E12	0.0	0.0	0.0	
10.829408	1.460218424729E12	0.0	0.0	0.0	
10.92941	1.460218424829E12	0.0	0.0	0.0	
11.029367	1.460218424929E12	0.0	0.0	0.0	
11.129243	1.460218425029E12	0.0	0.0	0.0	
11.229116	1.460218425128E12	0.0	0.0	0.0	
11.329002	1.460218425228E12	0.0	0.0	0.0	
11.428883	1.460218425328E12	0.0	0.0	0.0	
11.529726	1.460218425429E12	0.0	0.0	0.0	
11.630557	1.46021842553E12	0.0	0.0	0.0	
11.730396	1.46021842563E12	0.0	0.0	0.0	
11.830314	1.46021842573E12	0.0	0.0	0.0	
11.930203	1.460218425829E12	0.0	0.0	0.0	
12.030053	1.460218425929E12	0.0	0.0	0.0	
12.12988	1.460218426029E12	0.0	0.0	0.0	
12.23072	1.46021842613E12	0.0	0.0	0.0	
12.331595	1.460218426231E12	0.0	0.0	0.0	
12.431574	1.460218426331E12	0.0	0.0	0.0	
12.531495	1.460218426431E12	0.0	0.0	0.0	
12.631419	1.460218426531E12	0.0	0.0	0.0	
12.731242	1.460218426631E12	0.0	0.0	0.0	
12.831099	1.46021842673E12	0.0	0.0	0.0	
12.930975	1.46021842683E12	0.0	0.0	0.0	
13.030829	1.46021842693E12	0.0	0.0	0.0	
13.131727	1.485312084231E12	0.0	0.0	0.0	
13.232	1.485312084331E12	0.0	0.0	0.0	
13.332004	1.485312084431E12	0.0	0.0	0.0	
13.432147	1.485312084531E12	0.0	0.0	0.0	
