Time	TimeofDay	Shooter Encoder	Shooter Motor 1 Voltage	Shooter Current	
1.641092	1.485312430638E12	0.0	0.0	0.0	
1.725777	1.485312430702E12	0.0	0.0	0.0	
1.825746	1.485312430802E12	0.0	0.0	0.0	
1.925871	1.485312430902E12	0.0	0.0	0.0	
2.025895	1.485312431002E12	0.0	0.0	0.0	
2.125971	1.485312431102E12	0.0	0.0	0.0	
2.227027	1.485312431203E12	0.0	0.0	0.0	
2.327031	1.485312431303E12	0.0	0.0	0.0	
2.427061	1.485312431403E12	0.0	0.0	0.0	
2.527094	1.485312431503E12	0.0	0.0	0.0	
2.627091	1.485312431603E12	0.0	0.0	0.0	
2.727135	1.485312431703E12	0.0	0.0	0.0	
2.827114	1.485312431803E12	0.0	0.0	0.0	
2.927139	1.485312431903E12	0.0	0.0	0.0	
3.027172	1.485312432003E12	0.0	0.0	0.0	
3.127204	1.485312432103E12	0.0	0.0	0.0	
3.22758	1.485312432204E12	0.0	0.0	0.0	
3.327618	1.485312432304E12	0.0	0.0	0.0	
3.427738	1.485312432404E12	0.0	0.0	0.0	
3.527901	1.485312432504E12	0.0	0.0	0.0	
3.627939	1.485312432604E12	0.0	0.0	0.0	
3.728964	1.485312432705E12	0.0	0.0	0.0	
3.829242	1.485312432805E12	0.0	0.0	0.0	
3.929263	1.485312432905E12	0.0	0.0	0.0	
4.029621	1.485312433006E12	0.0	0.0	0.0	
4.129685	1.485312433106E12	0.0	0.0	0.0	
4.229746	1.485312433206E12	0.0	0.0	0.0	
4.330113	1.485312433306E12	0.0	0.0	0.0	
4.430113	1.485312433406E12	0.0	0.0	0.0	
4.530143	1.485312433506E12	0.0	0.0	0.0	
4.630149	1.485312433606E12	0.0	0.0	0.0	
4.730232	1.485312433706E12	0.0	0.0	0.0	
4.830287	1.485312433806E12	0.0	0.0	0.0	
4.930229	1.485312433906E12	0.0	0.0	0.0	
5.030265	1.485312434006E12	0.0	0.0	0.0	
5.130684	1.485312434107E12	0.0	0.0	0.0	
5.230755	1.485312434207E12	0.0	0.0	0.0	
5.330751	1.485312434307E12	0.0	0.0	0.0	
5.430695	1.485312434407E12	0.0	0.0	0.0	
5.530629	1.485312434507E12	0.0	0.0	0.0	
5.630605	1.485312434607E12	0.0	0.0	0.0	
5.73059	1.485312434707E12	0.0	0.0	0.0	
5.830544	1.485312434807E12	0.0	0.0	0.0	
5.930539	1.485312434907E12	0.0	0.0	0.0	
6.030542	1.485312435007E12	0.0	0.0	0.0	
6.130515	1.485312435107E12	0.0	0.0	0.0	
6.230485	1.485312435207E12	0.0	0.0	0.0	
6.330577	1.485312435307E12	0.0	0.0	0.0	
6.430456	1.485312435407E12	0.0	0.0	0.0	
6.530369	1.485312435507E12	0.0	0.0	0.0	
6.630241	1.485312435606E12	0.0	0.0	0.0	
6.730143	1.485312435706E12	0.0	0.0	0.0	
6.830158	1.485312435806E12	0.0	0.0	0.0	
6.930219	1.485312435906E12	0.0	0.0	0.0	
7.030159	1.485312436006E12	0.0	0.0	0.0	
7.130053	1.485312436106E12	0.0	0.0	0.0	
7.229979	1.485312436206E12	0.0	0.0	0.0	
7.329931	1.485312436306E12	0.0	0.0	0.0	
7.431039	1.485312436407E12	0.0	0.0	0.0	
7.530974	1.485312436507E12	0.0	0.0	0.0	
7.631871	1.485312436608E12	0.0	0.0	0.0	
7.732755	1.485312436709E12	0.0	0.0	0.0	
7.832646	1.485312436809E12	0.0	0.0	0.0	
7.932527	1.485312436909E12	0.0	0.0	0.0	
8.032435	1.485312437009E12	0.0	0.0	0.0	
8.132348	1.485312437109E12	0.0	0.0	0.0	
8.232486	1.485312437209E12	0.0	0.0	0.0	
8.332414	1.485312437309E12	0.0	0.0	0.0	
8.432496	1.485312437409E12	0.0	0.0	0.0	
8.532559	1.485312437509E12	0.0	0.0	0.0	
8.632464	1.485312437609E12	0.0	0.0	0.0	
8.732396	1.485312437709E12	0.0	0.0	0.0	
8.832279	1.485312437809E12	0.0	0.0	0.0	
8.932425	1.485312437909E12	0.0	0.0	0.0	
9.032323	1.485312438009E12	0.0	0.0	0.0	
9.132264	1.485312438108E12	0.0	0.0	0.0	
9.232156	1.485312438208E12	0.0	0.0	0.0	
9.332162	1.485312438308E12	0.0	0.0	0.0	
9.432037	1.485312438408E12	0.0	0.0	0.0	
9.531894	1.485312438508E12	0.0	0.0	0.0	
9.632724	1.485312438609E12	0.0	0.0	0.0	
9.733592	1.48531243871E12	0.0	0.0	0.0	
9.833423	1.48531243881E12	0.0	0.0	0.0	
9.933304	1.48531243891E12	0.0	0.0	0.0	
10.033152	1.485312439009E12	0.0	0.0	0.0	
10.132994	1.485312439109E12	0.0	0.0	0.0	
10.232839	1.485312439209E12	0.0	0.0	0.0	
10.333624	1.48531243931E12	0.0	0.0	0.0	
10.43346	1.48531243941E12	0.0	0.0	0.0	
10.533303	1.48531243951E12	0.0	0.0	0.0	
10.633156	1.485312439609E12	0.0	0.0	0.0	
10.733024	1.485312439709E12	0.0	0.0	0.0	
10.83288	1.485312439809E12	0.0	0.0	0.0	
10.93374	1.48531243991E12	0.0	0.0	0.0	
11.034992	1.485312440011E12	0.0	0.0	0.0	
11.133923	1.48531244011E12	0.0	0.0	0.0	
11.234957	1.485312440211E12	0.0	0.0	0.0	
11.335003	1.485312440311E12	0.0	0.0	0.0	
11.435031	1.485312440411E12	0.0	0.0	0.0	
11.534978	1.485312440511E12	0.0	0.0	0.0	
11.635	1.485312440611E12	0.0	0.0	0.0	
11.734955	1.485312440711E12	0.0	0.0	0.0	
11.834902	1.485312440811E12	0.0	0.0	0.0	
11.935821	1.485312440912E12	0.0	0.0	0.0	
12.036636	1.485312441013E12	0.0	0.0	0.0	
12.136524	1.485312441113E12	0.0	0.0	0.0	
12.236406	1.485312441213E12	0.0	0.0	0.0	
12.336292	1.485312441313E12	0.0	0.0	0.0	
12.436225	1.485312441412E12	0.0	0.0	0.0	
12.536141	1.485312441512E12	0.0	0.0	0.0	
12.636054	1.485312441612E12	0.0	0.0	0.0	
12.735939	1.485312441712E12	0.0	0.0	0.0	
12.836812	1.485312441813E12	0.0	0.0	0.0	
12.937676	1.485312441914E12	0.0	0.0	0.0	
13.037518	1.485312442014E12	0.0	0.0	0.0	
13.13743	1.485312442114E12	0.0	0.0	0.0	
13.237287	1.485312442214E12	0.0	0.0	0.0	
13.337296	1.485312442314E12	0.0	0.0	0.0	
13.437161	1.485312442413E12	0.0	0.0	0.0	
13.536983	1.485312442513E12	0.0	0.0	0.0	
13.636868	1.485312442613E12	0.0	0.0	0.0	
13.73775	1.485312442714E12	0.0	0.0	0.0	
13.838644	1.485312442815E12	0.0	0.0	0.0	
13.938503	1.485312442915E12	0.0	0.0	0.0	
14.038509	1.485312443015E12	0.0	0.0	0.0	
14.138441	1.485312443115E12	0.0	0.0	0.0	
14.238296	1.485312443215E12	0.0	0.0	0.0	
14.338141	1.485312443314E12	0.0	0.0	0.0	
14.438003	1.485312443414E12	0.0	0.0	0.0	
14.537851	1.485312443514E12	0.0	0.0	0.0	
14.638699	1.485312443615E12	0.0	0.0	0.0	
14.739633	1.485312443716E12	0.0	0.0	0.0	
14.839552	1.485312443816E12	0.0	0.0	0.0	
14.939365	1.485312443916E12	0.0	0.0	0.0	
